feature_set,n_features,explained_variance,mean_val_accuracy,mean_val_macro_f1,test_accuracy,test_macro_f1
original,3072,1.0,0.47569999999999996,0.473961097364087,0.476,0.4762852563737082
pca_10,307,0.9677285552024841,0.47539999999999993,0.47347114841030935,0.4725,0.4729535478916006
pca_30,922,0.996067464351654,0.4476,0.4461303255943333,0.448,0.44351892147341
pca_50,1536,0.9994456171989441,0.4382,0.4363453589810476,0.4475,0.44316585659635643
pca_70,2150,0.9999305605888367,0.4464,0.44376040356677543,0.4345,0.4325504945617162
pca_100,3072,1.0,0.4742,0.47284354584794547,0.456,0.45387604753035327
