feature_set,n_features,explained_variance,mean_val_accuracy,mean_val_macro_f1,test_accuracy,test_macro_f1
original,3072,1.0,0.41899999999999993,0.41378605904157445,0.4205,0.4138882141223519
pca_10,307,0.9677285552024841,0.3955,0.3898290865547836,0.41,0.4050331891091341
pca_30,922,0.996067464351654,0.3576,0.3537014784703883,0.3615,0.35487453284486453
pca_50,1536,0.9994456171989441,0.33819999999999995,0.33425562630814876,0.323,0.31410391594908027
pca_70,2150,0.9999305605888367,0.3118,0.3075629676264472,0.32,0.3116861813188184
pca_100,3072,1.0,0.42329999999999995,0.41701913955269587,0.4205,0.4134293275042542
